"","deaths","continentExp","CRPS","confirmed_today","deaths_today","Date","population","confirmed","recovered","imputed","recovered_imputed","active","active_imputed","new_confirmed","net_active","net_active_imputed","new_recovered","new_recovered_imputed","new_deaths","confirmed_pM","active_pM","recovered_pM","deaths_pM","new_confirmed_pM","net_active_pM","new_recovered_pM","new_deaths_pM","recovered_per_confirmed","deaths_per_confirmed","recovered_per_deaths","day_1","day_20","day_100","day_400","day_1000","day_2000","day_5000","day_10000"
"1",128,"Europe","Austria",564,20,2020-04-01,8847037,10182,0,TRUE,0,10054,10054,567.6,549.6,549.6,0,0,18,1150.8937964202,1136.42567562451,0,14.4681207956969,64.1570731534185,62.1224936665236,0,2.03457948689488,,0.0125712040856413,,36,29,24,19,16,13,8,1
"2",146,"Europe","Austria",529,18,2020-04-02,8847037,10711,0,TRUE,0,10565,10565,542.4,526,526,0,0,16.4,1210.68782689617,1194.18512661358,0,16.5027002825918,61.3086618717657,59.454933894817,0,1.85372797694867,,0.0136308467930165,,37,30,25,20,17,14,9,2
"3",158,"Europe","Austria",418,12,2020-04-03,8847037,11129,0,TRUE,0,10971,10971,429.6,414,414,0,0,15.6,1257.93528386962,1240.07619726243,0,17.8590866071884,48.5586304205578,46.7953281985822,0,1.76330222197556,,0.0141971426004133,,38,31,26,21,18,15,10,3
"4",168,"Europe","Austria",396,10,2020-04-04,8847037,11525,0,TRUE,0,11357,11357,360.2,345,345,0,0,15.2,1302.6960325813,1283.70662403695,0,18.9894085443522,40.7141961766408,38.9961068321518,0,1.71808934448901,,0.0145770065075922,,39,32,27,22,19,16,11,4
"5",186,"Europe","Austria",241,18,2020-04-05,8847037,11766,0,TRUE,0,11580,11580,317.2,302.4,302.4,0,0,14.8,1329.93679126695,1308.9128032357,0,21.0239880312471,35.8538118468364,34.1809353798339,0,1.67287646700246,,0.01580826109128,,40,33,28,23,20,17,12,5
"6",204,"Europe","Austria",217,18,2020-04-06,8847037,11983,0,TRUE,0,11779,11779,302.2,285.2,285.2,0,0,17,1354.46477730341,1331.40620978526,0,23.0585675181419,34.1583289410907,32.2367816479122,0,1.9215472931785,,0.0170241174997914,,41,34,29,24,21,18,13,6
"7",220,"Europe","Austria",314,16,2020-04-07,8847037,12297,0,TRUE,0,12077,12077,288.8,267.8,267.8,0,0,21,1389.95688613035,1365.08980351275,0,24.8670826176041,32.6436975452912,30.2700214772471,0,2.37367606804402,,0.0178905424087176,,42,35,30,25,22,19,14,7
"8",243,"Europe","Austria",343,23,2020-04-08,8847037,12640,0,TRUE,0,12397,12397,296.4,274.6,274.6,0,0,21.8,1428.72692857507,1401.26010550199,0,27.4668230730809,33.5027422175357,31.0386403945185,0,2.46410182301713,,0.0192246835443038,,43,36,31,26,23,20,15,8
"9",273,"Europe","Austria",329,30,2020-04-09,8847037,12969,0,TRUE,0,12696,12696,315.4,292.4,292.4,0,0,23,1465.91452030776,1435.05673142319,0,30.8577888845723,35.6503538981469,33.0506134426701,0,2.59974045547679,,0.0210501966227157,,44,37,32,27,24,21,16,9
"10",295,"Europe","Austria",279,22,2020-04-10,8847037,13248,0,TRUE,0,12953,12953,302,278.6,278.6,0,0,23.4,1497.45050235463,1464.1060052083,0,33.3444971463327,34.1357225023474,31.4907691693841,0,2.64495333296334,,0.0222675120772947,,45,38,33,28,25,22,17,10
