deaths,PSCR,confirmed_today,deaths_today,Date,population,Region,confirmed,recovered,imputed,recovered_imputed,active,active_imputed,NAs,new_confirmed,net_active,net_active_imputed,new_recovered,new_recovered_imputed,new_deaths,confirmed_p_M,active_p_M,active_imputed_p_M,recovered_p_M,recovered_imputed_p_M,deaths_p_M,new_confirmed_p_M,net_active_p_M,new_recovered_p_M,net_active_imputed_p_M,new_recovered_imputed_p_M,new_deaths_p_M,recovered_per_confirmed,recovered_imputed_per_confirmed,deaths_per_confirmed,recovered_per_deaths,recovered_imputed_per_deaths,day_1,day_20,day_100,day_400,day_1000,day_2000,day_5000,day_10000
128,Austria,564,20,2020-04-01,8847037,Europe,10182,,TRUE,0,,10054,,630.6,,615.4000000000001,,0,15.2,1150.8937964202025,,1136.4256756245056,,0,14.46812079569691,71.27810135755055,,,69.56001201306157,0,1.718089344489008,,,0.012571204085641328,,,36,29,24,19,16,13,8,1
146,Austria,529,18,2020-04-02,8847037,Europe,10711,,TRUE,0,,10565,,602.8,,587.2,,0,15.6,1210.6878268961686,,1194.185126613577,,0,16.50270028259179,68.13580637223514,,,66.37250415025957,0,1.7633022219755607,,,0.013630846793016524,,,37,30,25,20,17,14,9,2
158,Austria,418,12,2020-04-03,8847037,Europe,11129,,TRUE,0,,10971,,567.6,,549.6000000000001,,0,18,1257.9352838696166,,1240.0761972624282,,0,17.859086607188374,64.15707315341848,,,62.12249366652362,0,2.034579486894878,,,0.014197142600413335,,,38,31,26,21,18,15,10,3
168,Austria,396,10,2020-04-04,8847037,Europe,11525,,TRUE,0,,11357,,542.4000000000001,,526,,0,16.4,1302.6960325813038,,1283.7066240369516,,0,18.989408544352194,61.308661871765665,,,59.45493389481699,0,1.8537279769486663,,,0.01457700650759219,,,39,32,27,22,19,16,11,4
186,Austria,241,18,2020-04-05,8847037,Europe,11766,,TRUE,0,,11580,,429.6,,414,,0,15.6,1329.9367912669518,,1308.9128032357048,,0,21.02398803124707,48.558630420557755,,,46.79532819858219,0,1.7633022219755607,,,0.01580826109127996,,,40,33,28,23,20,17,12,5
204,Austria,217,18,2020-04-06,8847037,Europe,11983,,TRUE,0,,11779,,360.20000000000005,,345,,0,15.2,1354.464777303407,,1331.4062097852648,,0,23.05856751814195,40.71419617664084,,,38.996106832151824,0,1.718089344489008,,,0.01702411749979137,,,41,34,29,24,21,18,13,6
220,Austria,314,16,2020-04-07,8847037,Europe,12297,,TRUE,0,,12077,,317.20000000000005,,302.4,,0,14.8,1389.9568861303508,,1365.0898035127466,,0,24.867082617604062,35.85381184683641,,,34.18093537983395,0,1.6728764670024552,,,0.017890542408717573,,,42,35,30,25,22,19,14,7
243,Austria,343,23,2020-04-08,8847037,Europe,12640,,TRUE,2,,12395,,302.2,,284.8,,0.4,17,1428.72692857507,,1401.0340411145562,,0.22606438743276422,27.466823073080853,34.15832894109067,,,32.191568770425626,0.045212877486552845,1.9215472931784958,,1.5822784810126583e-4,0.019224683544303796,,0.00823045267489712,43,36,31,26,23,20,15,8
273,Austria,329,30,2020-04-09,8847037,Europe,12969,,TRUE,2,,12694,,288.8,,267.40000000000003,,0.4,21.000000000000004,1465.9145203077596,,1434.8306670357545,,0.22606438743276422,30.857788884572315,32.643697545291154,,,30.22480859976058,0.045212877486552845,2.3736760680440248,,1.5421389467190993e-4,0.021050196622715706,,0.007326007326007326,44,37,32,27,24,21,16,9
295,Austria,279,22,2020-04-10,8847037,Europe,13248,,TRUE,5,,12948,,296.4,,273.6,,1,21.8,1497.45050235463,,1463.5408442397156,,0.5651609685819106,33.34449714633272,33.502742217535655,,,30.925608200802145,0.11303219371638211,2.46410182301713,,3.7741545893719806e-4,0.022267512077294684,,0.01694915254237288,45,38,33,28,25,22,17,10
319,Austria,312,24,2020-04-11,8847037,Europe,13560,,TRUE,7,,13234,,315.40000000000003,,291,,1.4,23,1532.7165467941413,,1495.868051642601,,0.7912253560146747,36.05726979552589,35.650353898146925,,,32.89236837146719,0.15824507120293496,2.5997404554767884,,5.162241887905605e-4,0.023525073746312686,,0.0219435736677116,46,39,34,29,26,23,18,11
337,Austria,247,18,2020-04-12,8847037,Europe,13807,,TRUE,10,,13460,,302.00000000000006,,276.6,,2,23.400000000000002,1560.6354986420877,,1521.4133274225032,,1.1303219371638211,38.09184928242077,34.135722502347406,,,31.26470478195129,0.22606438743276422,2.644953332963342,,7.242702976750923e-4,0.02440790903165061,,0.02967359050445104,47,40,35,30,27,24,19,12
350,Austria,130,13,2020-04-13,8847037,Europe,13937,,TRUE,14,,13573,,259.40000000000003,,235.60000000000002,,2.4000000000000004,21.4,1575.3296838252174,,1534.1859653124543,,1.5824507120293494,39.56126780073374,29.320551050029522,,,26.630384839579627,0.2712772649193171,2.418888945530577,,0.0010045203415369162,0.025113008538422903,,0.04,48,41,36,31,28,25,20,13
368,Austria,106,18,2020-04-14,8847037,Europe,14043,,TRUE,18,,13657,,214.8,,192.60000000000002,,3.2,19,1587.311096359154,,1543.6806695846303,,2.034579486894878,41.595847287628615,24.279315210278877,,,21.770000509775198,0.36170301989242276,2.14761168061126,,0.001281777397991882,0.02620522680338959,,0.04891304347826087,49,42,37,32,29,26,21,14
384,Austria,191,16,2020-04-15,8847037,Europe,14234,,TRUE,24,,13826,,197.20000000000002,,175.60000000000002,,3.8,17.8,1608.9002453589828,,1562.783110322699,,2.7127726491931705,43.40436238709073,22.289948600870556,,,19.848453216596702,0.429522336122252,2.0119730481516016,,0.0016861036953772657,0.026977659126036252,,0.0625,50,43,38,33,30,27,22,15
393,Austria,136,9,2020-04-16,8847037,Europe,14370,,TRUE,29,,13948,,162,,142.8,,4.4,14.799999999999999,1624.2726237044108,,1576.5730379560976,,3.2779336177750813,44.42165213053817,18.311215382053902,,,16.140997262699365,0.4973416523520813,1.672876467002455,,0.0020180932498260265,0.027348643006263048,,0.0737913486005089,51,44,39,34,31,28,23,16
410,Austria,78,17,2020-04-17,8847037,Europe,14448,,TRUE,41,,13997,,128.2,,107.4,,6.2,14.6,1633.0891348142886,,1582.1116154482004,,4.6343199423716666,46.34319942371666,14.490727234440184,,,12.139657605139439,0.700799601041569,1.6502700282591787,,0.002837763012181617,0.02837763012181617,,0.1,52,45,40,35,32,29,24,17
431,Austria,155,21,2020-04-18,8847037,Europe,14603,,TRUE,73,,14099,,133.20000000000002,,105.2,,11.8,16.200000000000003,1650.609124840328,,1593.6408992072713,,8.251350141295895,48.71687549176069,15.055888203022098,,,11.890986778963397,1.3337798858533088,1.8311215382053905,,0.004998972813805382,0.029514483325344107,,0.16937354988399073,53,46,41,36,33,30,25,18
443,Austria,59,12,2020-04-19,8847037,Europe,14662,,TRUE,98,,14121,,123.8,,92.80000000000001,,16,15,1657.2780242695944,,1596.1276074690318,,11.077154984205446,50.073261816357274,13.993385582088104,,,10.489387576880262,1.8085150994621138,1.6954829057457317,,0.006683944891556404,0.030214159050607012,,0.22121896162528218,54,47,42,37,34,31,26,19
452,Austria,48,9,2020-04-20,8847037,Europe,14710,,TRUE,101,,14157,,95.2,,66.2,,15.4,13.600000000000001,1662.7035695679808,,1600.1967664428214,,11.416251565354592,51.09055155980471,10.760664841799576,,,7.482731224024495,1.7406957832322845,1.5372378345427968,,0.0068660774983004755,0.03072739632902787,,0.2234513274336283,55,48,43,38,35,32,27,20
462,Austria,73,10,2020-04-21,8847037,Europe,14783,,TRUE,130,,14191,,82.6,,48.599999999999994,,20.200000000000003,13.8,1670.9549197092767,,1604.0398610291784,,14.694185183129674,52.22087349696853,9.336459200973161,,,5.493364614616169,2.2832503130709187,1.5598442732860731,,0.008793884867753501,0.031252113914631674,,0.2813852813852814,56,49,44,39,36,33,28,21
463,Austria,50,1,2020-04-22,8847037,Europe,14833,,TRUE,179,,14191,,77,,38.8,,27.6,10.600000000000001,1676.6065293950958,,1604.0398610291784,,20.232762675232397,52.333905690684915,8.703478916161423,,,4.3856491161956255,3.1196885465721462,1.1981412533936506,,0.01206768691431268,0.031214184588417716,,0.38660907127429806,57,50,45,40,37,34,29,22
494,Austria,91,31,2020-04-23,8847037,Europe,14924,,TRUE,243,,14187,,64.2,,17.6,,34,12.600000000000001,1686.8924590232866,,1603.5877322543129,,27.466823073080853,55.83790369589276,7.256666836591731,,,1.989366609408325,3.8430945863569916,1.4242056408264148,,0.016282497989815063,0.033101045296167246,,0.49190283400809715,58,51,46,41,38,35,30,23
