Country.Region,PSCR,Province.State,Date,Lat,Long,confirmed,recovered,deaths,population,Region,imputed,recovered_imputed,active,active_imputed,new_confirmed,new_active_rate,net_active,net_active_imputed,new_recovered,new_recovered_imputed,new_deaths,confirmed_p_M,active_p_M,active_imputed_p_M,recovered_p_M,recovered_imputed_p_M,deaths_p_M,new_confirmed_p_M,net_active_p_M,new_recovered_p_M,net_active_imputed_p_M,new_recovered_imputed_p_M,new_deaths_p_M,recovered_per_confirmed,recovered_imputed_per_confirmed,deaths_per_confirmed,recovered_per_deaths,recovered_imputed_per_deaths,doublingDays,confirmed_sim,recovered_sim,active_sim,deaths_sim,day_1,day_20,day_100,day_400,day_1000,day_2000,day_5000,day_10000,day_50000,day_1e+05,day_5e+05,day_1e+06
Europe,Europe,Europe,2020-04-17,47.9447333877551,17.43403830612245,1031232,288535,98548,764065937,Europe,FALSE,288535,644149,644149,33482.00000000001,5.2,16283.8,16283.8,13413.2,13413.2,3785.0000000000005,1349.6636220284743,843.0542035798148,843.0542035798148,377.63102113005203,377.63102113005203,128.97839731860734,43.820825374656124,21.312035010926028,17.555029416263586,21.312035010926028,17.555029416263586,4.953760947466502,0.27979639887047725,0.27979639887047725,0.09556336498479488,2.927862564435605,2.927862564435605,2.233,654689631,5904,640208955,14474772,85,77,56,52,50,48,44,41,34,30,16,1
Europe,Europe,Europe,2020-04-18,47.9447333877551,17.43403830612245,1055287,298335,101748,764065937,Europe,FALSE,298335,655204,655204,32082.800000000003,4.9,15822.600000000002,15822.600000000002,12906.2,12906.2,3354.0000000000005,1381.1465069931523,857.5228501516094,857.5228501516094,390.4571393031489,390.4571393031489,133.16651753839406,41.98956980855437,20.708422184249265,16.891474118941126,20.708422184249265,16.891474118941126,4.389673505363976,0.28270508401979744,0.28270508401979744,0.09641737271472121,2.932096945394504,2.932096945394504,2.233,688685801,7942,670951591,17726268,86,78,57,53,51,49,45,42,35,31,17,2
Europe,Europe,Europe,2020-04-19,47.9447333877551,17.43403830612245,1090920,309267,104228,764065937,Europe,FALSE,309267,677425,677425,28786.8,4.25,11461.2,11461.2,14066.2,14066.2,3259.4,1427.7825344280463,886.6054187153222,886.6054187153222,404.7648050039954,404.7648050039954,136.4123107087288,37.675805982174026,15.000276082193675,18.409667698613816,15.000276082193675,18.409667698613816,4.265862201366529,0.2834919150808492,0.2834919150808492,0.09554137791955414,2.9672161031584605,2.9672161031584605,2.233,713352815,10723,692178870,21163222,87,79,58,54,52,50,46,43,36,32,18,3
Europe,Europe,Europe,2020-04-20,47.9447333877551,17.43403830612245,1115343,321401,107047,764065937,Europe,FALSE,321401,686895,686895,27125,3.95,9592.2,9592.2,14416,14416,3116.8,1459.747053218,898.9996369907536,898.9996369907536,420.64563336239917,420.64563336239917,140.10178286484717,35.50086280053602,12.554152116324484,18.867481590139256,12.554152116324484,18.867481590139256,4.079229094072283,0.2881633721644373,0.2881633721644373,0.09597675333955563,3.002428839668557,3.002428839668557,2.233,730549562,14658,705954833,24580071,88,80,59,55,53,51,47,44,37,33,19,4
Europe,Europe,Europe,2020-04-21,47.9447333877551,17.43403830612245,1142267,344622,110753,764065937,Europe,FALSE,344622,686892,686892,28128.799999999996,4.1,9497.599999999999,9497.599999999999,15518.199999999999,15518.199999999999,3113,1494.9848497172306,898.9957106280475,898.9957106280475,451.0369894947954,451.0369894947954,144.9521495943877,36.81462376198037,12.430340812327037,20.31002724834205,12.430340812327037,20.31002724834205,4.074255701311286,0.30170004035834,0.30170004035834,0.09695894217376498,3.111626773089668,3.111626773089668,2.233,742189876,20016,714415637,27754223,89,81,60,56,54,52,48,45,38,34,20,5
Europe,Europe,Europe,2020-04-22,47.9447333877551,17.43403830612245,1166857,360615,114132,764065937,Europe,FALSE,360615,692110,692110,24104.4,3.48,3312.2000000000003,3312.2000000000003,17511.2,17511.2,3281,1527.1679360311543,905.8249641614373,905.8249641614373,471.9684290807483,471.9684290807483,149.37454278896874,31.547539070571077,4.334966184993012,22.918440872727977,4.334966184993012,22.918440872727977,4.29413201285009,0.3090481524299893,0.3090481524299893,0.09781147132853468,3.159630953632636,3.159630953632636,2.233,749913374,27346,719380426,30505602,90,82,61,57,55,53,49,46,39,35,21,6
Europe,Europe,Europe,2020-04-23,47.9447333877551,17.43403830612245,1195931,375926,117313,764065937,Europe,FALSE,375926,702692,702692,24449,3.48,4025.400000000001,4025.400000000001,17145.4,17145.4,3278.2,1565.2196258030542,919.6745542132445,919.6745542132445,492.00727554485917,492.00727554485917,153.5377960449505,31.99854726673936,5.268393478977981,22.43968638010361,5.268393478977981,22.43968638010361,4.2904674076577765,0.31433753285097554,0.31433753285097554,0.09809345187974891,3.2044700928285867,3.2044700928285867,2.233,754963365,37406,722191477,32734482,91,83,62,58,56,54,50,47,40,36,22,7
Europe,Europe,Europe,2020-04-24,47.9447333877551,17.43403830612245,1211442,396823,120633,764065937,Europe,FALSE,396823,693986,693986,23717.800000000003,3.42,6347.200000000001,6347.200000000001,14478.400000000001,14478.400000000001,2892.2000000000003,1585.5202297809017,908.2802496402873,908.2802496402873,519.3570093676352,519.3570093676352,157.88297077297923,31.0415617965181,8.307136455946996,18.949149934425098,8.307136455946996,18.949149934425098,3.7852754061460017,0.32756252466069363,0.32756252466069363,0.09957802354549372,3.289506188190628,3.289506188190628,2.233,758236935,51109,723751536,34434290,92,84,63,59,57,55,51,48,41,37,23,8
Europe,Europe,Europe,2020-04-25,47.9447333877551,17.43403830612245,1237588,407128,123438,764065937,Europe,FALSE,407128,707022,707022,23525.600000000002,3.33,7666.000000000002,7666.000000000002,13224.800000000001,13224.800000000001,2634.8,1619.7397895516967,925.3416043856434,925.3416043856434,532.8440652629172,532.8440652629172,161.55411990313607,30.790012825817158,10.033165501526607,17.308453838323643,10.033165501526607,17.308453838323643,3.4483934859669056,0.32896892988619797,0.32896892988619797,0.09974078610975542,3.298238791944134,3.298238791944134,2.233,760340351,69748,724602962,35667641,93,85,64,60,58,56,52,49,42,38,24,9
Europe,Europe,Europe,2020-04-26,47.9447333877551,17.43403830612245,1260856,417014,125214,764065937,Europe,FALSE,417014,718628,718628,22333.8,3.11,7236.000000000001,7236.000000000001,12549.800000000003,12549.800000000003,2548,1650.192658699821,940.5313929077826,940.5313929077826,545.7827391669209,545.7827391669209,163.8785266251177,29.23019980146033,9.470386846992763,16.425022229462382,9.470386846992763,16.425022229462382,3.33479072500519,0.3307387996726034,0.3307387996726034,0.09930872359730215,3.330410337502196,3.330410337502196,2.233,761686856,94829,725064549,36527478,94,86,65,61,59,57,53,50,43,39,25,10
Europe,Europe,Europe,2020-04-27,47.9447333877551,17.43403830612245,1284485,426739,127306,764065937,Europe,FALSE,426739,730440,730440,23061.600000000002,3.16,7921.200000000001,7921.200000000001,12676.400000000001,12676.400000000001,2464,1681.1180001602402,955.9907916690703,955.9907916690703,558.5106982723665,558.5106982723665,166.61651021880328,30.18273539394808,10.367168089054598,16.59071473565769,10.367168089054598,16.59071473565769,3.2248525692357886,0.3322257558476744,0.3322257558476744,0.09911053846483221,3.352072958069533,3.352072958069533,2.233,762551190,128807,725312889,37109494,95,87,66,62,60,58,54,51,44,40,26,11
Europe,Europe,Europe,2020-04-28,47.9447333877551,17.43403830612245,1307600,438675,130053,764065937,Europe,FALSE,438675,738872,738872,22624,3.06,6020.800000000001,6020.800000000001,14242.400000000001,14242.400000000001,2360.8,1711.3706248103558,967.0264884482084,967.0264884482084,574.132386692171,574.132386692171,170.21174966997646,29.610009953892238,7.879948193528749,18.640276068215826,7.879948193528749,18.640276068215826,3.089785692147666,0.335481033955338,0.335481033955338,0.0994593147751606,3.3730479112361884,3.3730479112361884,2.233,763101578,175119,725430790,37495669,96,88,67,63,61,59,55,52,45,41,27,12
Europe,Europe,Europe,2020-04-29,47.9447333877551,17.43403830612245,1326750,460205,132953,764065937,Europe,FALSE,460205,733592,733592,22740.6,3.1,5842.800000000001,5842.800000000001,14514.6,14514.6,2383.2000000000003,1736.433906750642,960.1160900855602,960.1160900855602,602.3105830459236,602.3105830459236,174.00723361915817,29.76261458440072,7.646984006303112,18.996528044411434,7.646984006303112,18.996528044411434,3.1191025336861737,0.3468664028641417,0.3468664028641417,0.1002095345769738,3.461411175377765,3.461411175377765,2.233,763453196,238301,725466727,37748168,97,89,68,64,62,60,56,53,46,42,28,13
Europe,Europe,Europe,2020-04-30,47.9447333877551,17.43403830612245,1350708,478340,135242,764065937,Europe,FALSE,478340,737126,737126,22943.2,3.11,5223.4,5223.4,15297.2,15297.2,2422.6,1767.789839321158,964.7413453532872,964.7413453532872,626.0454456039963,626.0454456039963,177.0030483638744,30.027774945815967,6.83632098626064,20.020785195663027,6.83632098626064,20.020785195663027,3.1706687638922975,0.35414019906597133,0.35414019906597133,0.10012674834235083,3.53691900445128,3.53691900445128,2.233,763675830,324101,725439882,37911847,98,90,69,65,63,61,57,54,47,43,29,14
Europe,Europe,Europe,2020-05-01,47.9447333877551,17.43403830612245,1374559,489587,137130,764065937,Europe,FALSE,489587,747842,747842,22852,3.06,6072.200000000002,6072.200000000002,14667.4,14667.4,2112.3999999999996,1799.0057316218247,978.766312939298,978.766312939298,640.7653793889781,640.7653793889781,179.47403929354857,29.908413519552045,7.9472198745590745,19.196510784906252,7.9472198745590745,19.196510784906252,2.7646828600867197,0.3561775085682026,0.3561775085682026,0.09976290577559785,3.5702399183256763,3.5702399183256763,2.233,763817230,441098,725359114,38017018,99,91,70,66,64,62,58,55,48,44,30,15
Europe,Europe,Europe,2020-05-02,47.9447333877551,17.43403830612245,1399201,503225,139419,764065937,Europe,FALSE,503225,756557,756557,23381.600000000006,3.09,8475.8,8475.8,13064.2,13064.2,1841.6000000000001,1831.25687488932,990.1723966003735,990.1723966003735,658.6146242506817,658.6146242506817,182.46985403826477,30.60154741592676,11.093021674646385,17.098262554793095,11.093021674646385,17.098262554793095,2.410263186487268,0.3596516869270391,0.3596516869270391,0.09964186703697324,3.609443476140268,3.609443476140268,2.233,763908086,599803,725223940,38084343,100,92,71,67,65,63,59,56,49,45,31,16
Europe,Europe,Europe,2020-05-03,47.9447333877551,17.43403830612245,1421860,512012,140615,764065937,Europe,FALSE,512012,769233,769233,23246.4,3.02,9455.800000000001,9455.800000000001,12014.6,12014.6,1776,1860.912692408116,1006.7625878210038,1006.7625878210038,670.1149406167023,670.1149406167023,184.03516397041005,30.42459933664076,12.375633491956076,15.724559122703045,12.375633491956076,15.724559122703045,2.3244067219816396,0.3601001505070823,0.3601001505070823,0.09889510922313026,3.6412331543576433,3.6412331543576433,2.233,763965592,816703,725021329,38127560,101,93,72,68,66,64,60,57,50,46,32,17
Europe,Europe,Europe,2020-05-04,47.9447333877551,17.43403830612245,1443658,525526,142161,764065937,Europe,FALSE,525526,775971,775971,24263.400000000005,3.13,7458.200000000001,7458.200000000001,14901.400000000001,14901.400000000001,1903.8000000000002,1889.4416438302758,1015.5811984587922,1015.5811984587922,687.8018958198892,687.8018958198892,186.05854955159452,31.75563629399174,9.761199444754205,19.50276707597816,9.761199444754205,19.50276707597816,2.491669773259373,0.36402388931450524,0.36402388931450524,0.09847276848117767,3.6966959996060806,3.6966959996060806,2.233,764001876,1110066,724736731,38155079,102,94,73,69,67,65,61,58,51,47,33,18
Europe,Europe,Europe,2020-05-05,47.9447333877551,17.43403830612245,1466940,538413,144122,764065937,Europe,FALSE,538413,784405,784405,24717.600000000002,3.15,7685.800000000001,7685.800000000001,15219.4,15219.4,1812.4,1919.9128360043617,1026.6195128130676,1026.6195128130676,704.6682412175115,704.6682412175115,188.62508197378259,32.35008760768772,10.059079495386536,19.918961522819462,10.059079495386536,19.918961522819462,2.3720465894817138,0.3670313714262342,0.3670313714262342,0.09824669038951832,3.735814101941411,3.735814101941411,2.233,764025377,1509308,724343409,38172660,103,95,74,70,68,66,62,59,52,48,34,19
