Country Name,Country Code,2018,
Holy See,,801,
Tuvalu,TUV,11508,
Nauru,NRU,12704,
Palau,PLW,17907,
British Virgin Islands,VGB,29802,
Gibraltar,GIB,33718,
San Marino,SMR,33785,
St. Martin (French part),MAF,37264,
Turks and Caicos Islands,TCA,37665,
Liechtenstein,LIE,37910,
Monaco,MCO,38682,
Sint Maarten,SXM,40654,
Faroe Islands,FRO,48497,
Saint Kitts and Nevis,KNA,52441,
American Samoa,ASM,55465,
Greenland,GRL,56025,
Northern Mariana Islands,MNP,56882,
Marshall Islands,MHL,58413,
Bermuda,BMU,63968,
Cayman Islands,CYM,64174,
Dominica,DMA,71625,
Andorra,AND,77006,
Isle of Man,IMN,84077,
Antigua and Barbuda,ATG,96286,
Seychelles,SYC,96762,
Tonga,TON,103197,
Aruba,ABW,105845,
Virgin Islands (U.S.),VIR,106977,
Saint Vincent and the Grenadines,VCT,110210,
Grenada,GRD,111454,
"Micronesia, Fed. Sts.",FSM,112640,
Kiribati,KIR,115847,
Curacao,CUW,159849,
Guam,GUM,165768,
Channel Islands,CHI,170499,
Saint Lucia,LCA,181889,
Samoa,WSM,196130,
Sao Tome and Principe,STP,211028,
French Polynesia,PYF,277679,
New Caledonia,NCL,284060,
Barbados,BRB,286641,
Vanuatu,VUT,292680,
Iceland,ISL,353574,
Belize,BLZ,383071,
Bahamas,BHS,385640,
Brunei,BRN,428962,
Malta,MLT,483530,
Maldives,MDV,515696,
Cabo Verde,CPV,543767,
Suriname,SUR,575991,
Luxembourg,LUX,607728,
Montenegro,MNE,622345,
"Macao SAR, China",MAC,631636,
Solomon Islands,SLB,652858,
Bhutan,BTN,754394,
Guyana,GUY,779004,
Comoros,COM,832322,
Fiji,FJI,883483,
Djibouti,DJI,958920,
Eswatini,SWZ,1136191,
Cyprus,CYP,1189265,
Mauritius,MUS,1265303,
Timor-Leste,TLS,1267972,
Equatorial Guinea,GNQ,1308974,
Estonia,EST,1320884,
Trinidad and Tobago,TTO,1389858,
Bahrain,BHR,1569439,
Kosovo,XKX,1845300,
Guinea-Bissau,GNB,1874309,
Latvia,LVA,1926542,
Slovenia,SVN,2067372,
North Macedonia,MKD,2082958,
Lesotho,LSO,2108132,
Gabon,GAB,2119275,
Botswana,BWA,2254126,
Gambia,GMB,2280102,
Namibia,NAM,2448255,
Pacific island small states,PSS,2457367,
Qatar,QAT,2781677,
Lithuania,LTU,2789533,
Albania,ALB,2866376,
Jamaica,JAM,2934855,
Armenia,ARM,2951776,
Mongolia,MNG,3170208,
Puerto Rico,PRI,3195153,
Bosnia and Herzegovina,BIH,3323929,
Uruguay,URY,3449299,
Moldova,MDA,3545883,
Georgia,GEO,3731000,
Croatia,HRV,4089400,
Kuwait,KWT,4137309,
Panama,PAN,4176873,
Mauritania,MRT,4403319,
West Bank and Gaza,PSE,4569087,
Central African Republic,CAF,4666377,
Liberia,LBR,4818977,
Oman,OMN,4829483,
Ireland,IRL,4853506,
New Zealand,NZL,4885500,
Costa Rica,CRI,4999441,
Congo (Brazzaville),COG,5244363,
Norway,NOR,5314336,
Slovakia,SVK,5447011,
Finland,FIN,5518050,
Singapore,SGP,5638676,
Denmark,DNK,5797446,
Turkmenistan,TKM,5850908,
Kyrgyzstan,KGZ,6315800,
El Salvador,SLV,6420744,
Nicaragua,NIC,6465513,
Libya,LBY,6678567,
Lebanon,LBN,6848925,
Paraguay,PRY,6956071,
Serbia,SRB,6982084,
Bulgaria,BGR,7024216,
Laos,LAO,7061507,
Caribbean small states,CSS,7358965,
"Hong Kong SAR, China",HKG,7451000,
Sierra Leone,SLE,7650154,
Togo,TGO,7889094,
Switzerland,CHE,8516543,
Papua New Guinea,PNG,8606316,
Austria,AUT,8847037,
Israel,ISR,8883800,
Tajikistan,TJK,9100837,
Belarus,BLR,9485386,
Honduras,HND,9587522,
United Arab Emirates,ARE,9630959,
Hungary,HUN,9768785,
Azerbaijan,AZE,9942334,
Jordan,JOR,9956011,
Sweden,SWE,10183175,
Portugal,PRT,10281762,
Czechia,CZE,10625695,
Dominican Republic,DOM,10627165,
Greece,GRC,10727668,
South Sudan,SSD,10975920,
Haiti,HTI,11123176,
Burundi,BDI,11175378,
Cuba,CUB,11338138,
Bolivia,BOL,11353142,
Belgium,BEL,11422068,
Benin,BEN,11485048,
Tunisia,TUN,11565204,
Rwanda,RWA,12301939,
Guinea,GIN,12414318,
Zimbabwe,ZWE,14439018,
Somalia,SOM,15008154,
Chad,TCD,15477751,
Senegal,SEN,15854360,
Cambodia,KHM,16249798,
Syrian,SYR,16906283,
Ecuador,ECU,17084357,
Netherlands,NLD,17231017,
Guatemala,GTM,17247807,
Zambia,ZMB,17351822,
Malawi,MWI,18143315,
Kazakhstan,KAZ,18276499,
Chile,CHL,18729160,Myanmar
Mali,MLI,19077690,
Romania,ROU,19473936,
Burkina Faso,BFA,19751535,
Sri Lanka,LKA,21670000,
Niger,NER,22442948,
Taiwan*,TAI,23603121,
Australia,AUS,24992369,
Cote d'Ivoire,CIV,25069229,
Cameroon,CMR,25216237,
"Korea, North",PRK,25549819,
Madagascar,MDG,26262368,
Nepal,NPL,28087871,
Yemen,YEM,28498687,
Venezuela,VEN,28870195,
Mozambique,MOZ,29495962,
Ghana,GHA,29767108,
Other small states,OSS,30758989,
Angola,AGO,30809762,
Malaysia,MYS,31528585,
Peru,PER,31989256,
Uzbekistan,UZB,32955400,
Saudi Arabia,SAU,33699947,
Morocco,MAR,36029138,
Canada,CAN,37058856,
Afghanistan,AFG,37172386,
Poland,POL,37978548,
Iraq,IRQ,38433600,
Small states,SST,40575321,
Sudan,SDN,41801533,
Algeria,DZA,42228429,
Uganda,UGA,42723139,
Argentina,ARG,44494502,
Ukraine,UKR,44622516,"Korea, Dem. People’s Rep."
Spain,ESP,46723749,
Colombia,COL,49648685,
Kenya,KEN,51393010,
"Korea, South",KOR,51635256,
Burma,MMR,53708395,
Tanzania,TZA,56318348,
South Africa,ZAF,57779622,
Italy,ITA,60431283,
United Kingdom,GBR,66488991,
France,FRA,66987244,
Thailand,THA,69428524,
Iran,IRN,81800269,
Turkey,TUR,82319724,
Germany,DEU,82927922,
Congo (Kinshasa),COD,84068091,
Vietnam,VNM,95540395,
Egypt,EGY,98423595,
Central Europe and the Baltics,CEB,102511922,
