Country/RegionProvince/State,Thailand,Japan,Singapore,Nepal,Malaysia,CanadaBritish Columbia,AustraliaNew South Wales,AustraliaVictoria,AustraliaQueensland,Cambodia,Sri Lanka,Germany,Finland,United Arab Emirates,Philippines,India,Italy,Sweden,Spain,AustraliaSouth Australia,Belgium,Egypt,AustraliaFrom Diamond Princess,Lebanon,Iraq,Oman,Afghanistan,Bahrain,Kuwait,Algeria,Croatia,Switzerland,Austria,Israel,Pakistan,Brazil,Georgia,Greece,North Macedonia,Norway,Romania,Estonia,Netherlands,San Marino,Belarus,Iceland,Lithuania,Mexico,New Zealand,Nigeria,AustraliaWestern Australia,Ireland,Luxembourg,Monaco,Qatar,Ecuador,Azerbaijan,Armenia,Dominican Republic,Indonesia,Portugal,Andorra,AustraliaTasmania,Latvia,Morocco,Saudi Arabia,Senegal,Argentina,Chile,Jordan,Ukraine,Hungary,AustraliaNorthern Territory,Liechtenstein,Poland,Tunisia,Bosnia and Herzegovina,Slovenia,South Africa,Bhutan,Cameroon,Colombia,Costa Rica,Peru,Serbia,Slovakia,Togo,French Guiana,Malta,Martinique,Bulgaria,Maldives,Bangladesh,Paraguay,CanadaOntario,CanadaAlberta,CanadaQuebec,Albania,Cyprus,Brunei,USWashington,USNew York,USCalifornia,USMassachusetts,USDiamond Princess,USGrand Princess,USGeorgia,USColorado,USFlorida,USNew Jersey,USOregon,USTexas,USIllinois,USPennsylvania,USIowa,USMaryland,USNorth Carolina,USSouth Carolina,USTennessee,USVirginia,USArizona,USIndiana,USKentucky,USDistrict of Columbia,USNevada,USNew Hampshire,USMinnesota,USNebraska,USOhio,USRhode Island,USWisconsin,USConnecticut,USHawaii,USOklahoma,USUtah,Burkina Faso,Holy See,Mongolia,Panama,USKansas,USLouisiana,USMissouri,USVermont,USAlaska,USArkansas,USDelaware,USIdaho,USMaine,USMichigan,USMississippi,USMontana,USNew Mexico,USNorth Dakota,USSouth Dakota,USWest Virginia,USWyoming,ChinaHubei,Iran,"Korea, South",FranceFrance,ChinaGuangdong,ChinaHenan,ChinaZhejiang,ChinaHunan,ChinaAnhui,ChinaJiangxi,ChinaShandong,Cruise ShipDiamond Princess,ChinaJiangsu,ChinaChongqing,ChinaSichuan,ChinaHeilongjiang,United KingdomUK,DenmarkDenmark,ChinaBeijing,ChinaShanghai,ChinaHebei,ChinaFujian,ChinaGuangxi,ChinaShaanxi,ChinaYunnan,ChinaHainan,ChinaGuizhou,ChinaTianjin,ChinaShanxi,ChinaGansu,ChinaHong Kong,ChinaLiaoning,ChinaJilin,Czechia,ChinaXinjiang,ChinaInner Mongolia,ChinaNingxia,Taiwan*,Vietnam,Russia,ChinaQinghai,ChinaMacau,Moldova,Bolivia,DenmarkFaroe Islands,FranceSt Martin,Honduras,United KingdomChannel Islands,CanadaNew Brunswick,ChinaTibet,Congo (Kinshasa),Cote d'Ivoire,FranceSaint Barthelemy,Jamaica,Reunion,Turkey,United KingdomGibraltar,"USKitsap, WA","USSolano, CA","USSanta Cruz, CA","USNapa, CA","USVentura, CA","USWorcester, MA","USGwinnett, GA","USDeKalb, GA","USFloyd, GA","USFayette, GA","USGregg, TX","USMonmouth, NJ","USBurlington, NJ","USCamden, NJ","USPassaic, NJ","USUnion, NJ","USEagle, CO","USLarimer, CO","USArapahoe, CO","USGunnison, CO","USKane, IL","USMonroe, PA","USPhiladelphia, PA","USNorfolk, VA","USArlington, VA","USSpotsylvania, VA","USLoudoun, VA","USPrince George's, MD","USPottawattamie, IA","USCamden, NC","USPima, AZ","USNoble, IN","USAdams, IN","USBoone, IN","USDane, WI","USPierce, WI","USCuyahoga, OH","USWeber, UT","USBennington County, VT","USCarver County, MN","USCharlotte County, FL","USCherokee County, GA","USCollin County, TX","USJefferson County, KY","USJefferson Parish, LA","USShasta County, CA","USSpartanburg County, SC","USHarrison County, KY","USJohnson County, IA","USBerkshire County, MA","USDavidson County, TN","USDouglas County, OR","USFresno County, CA","USHarford County, MD","USHendricks County, IN","USHudson County, NJ","USJohnson County, KS","USKittitas County, WA","USManatee County, FL","USMarion County, OR","USOkaloosa County, FL","USPolk County, GA","USRiverside County, CA","USShelby County, TN","USSt. Louis County, MO","USSuffolk County, NY","USUlster County, NY","USVolusia County, FL","USFairfax County, VA","USRockingham County, NH","USWashington, D.C.","USMontgomery County, PA","USAlameda County, CA","USBroward County, FL","USLee County, FL","USPinal County, AZ","USRockland County, NY","USSaratoga County, NY","USCharleston County, SC","USClark County, WA","USCobb County, GA","USDavis County, UT","USEl Paso County, CO","USHonolulu County, HI","USJackson County, OR ","USJefferson County, WA","USKershaw County, SC","USKlamath County, OR","USMadera County, CA","USPierce County, WA","USTulsa County, OK","USDouglas County, CO","USProvidence County, RI","USChatham County, NC","USDelaware County, PA","USDouglas County, NE","USFayette County, KY","USMarion County, IN","USMiddlesex County, MA","USNassau County, NY","USRamsey County, MN","USWashoe County, NV","USWayne County, PA","USYolo County, CA","USSanta Clara County, CA","USClark County, NV","USFort Bend County, TX","USGrant County, WA","USSanta Rosa County, FL","USWilliamson County, TN","USNew York County, NY","USMontgomery County, MD","USSuffolk County, MA","USDenver County, CO","USSummit County, CO","USBergen County, NJ","USHarris County, TX","USSan Francisco County, CA","USContra Costa County, CA","USOrange County, CA","USNorfolk County, MA","USMaricopa County, AZ","USWake County, NC","USWestchester County, NY","USGrafton County, NH","USHillsborough, FL","USPlacer County, CA","USSan Mateo, CA","USSonoma County, CA","USUmatilla, OR","USFulton County, GA","USWashington County, OR","USSnohomish County, WA","USHumboldt County, CA","USSacramento County, CA","USSan Diego County, CA","USSan Benito, CA","USLos Angeles, CA","USKing County, WA","USCook County, IL","USSkagit, WA","USThurston, WA","USIsland, WA","USWhatcom, WA","USMarin, CA","USCalaveras, CA","USStanislaus, CA","USSan Joaquin, CA","USEssex, MA","USCharlton, GA","USCollier, FL","USPinellas, FL","USAlachua, FL","USNassau, FL","USPasco, FL","USDallas, TX","USTarrant, TX","USMontgomery, TX","USMiddlesex, NJ","USJefferson, CO","USMultnomah, OR","USPolk, OR","USDeschutes, OR","USMcHenry, IL","USLake, IL","USBucks, PA","USHanover, VA","USLancaster, SC","USSullivan, TN","USJohnson, IN","USHoward, IN","USSt. Joseph, IN","USKnox, NE","USStark, OH","USAnoka, MN","USOlmsted, MN","USSummit, UT","USFairfield, CT","USLitchfield, CT","USOrleans, LA","USPennington, SD","USBeadle, SD","USCharles Mix, SD","USDavison, SD","USMinnehaha, SD","USBon Homme, SD","USSocorro, NM","USBernalillo, NM","USOakland, MI","USWayne, MI","USNew Castle, DE",Cuba,Guyana
1/22/20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,1,0,26,5,10,4,1,2,2,0,1,6,5,0,0,0,14,9,1,1,2,0,1,4,1,4,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,1,0,32,5,27,9,9,7,6,0,5,9,8,2,0,0,22,16,1,5,5,3,2,5,3,4,1,2,2,3,1,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,2,2,53,9,43,24,15,18,15,0,9,27,15,4,0,0,36,20,2,10,23,5,5,8,3,8,1,2,2,4,3,0,2,1,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,7,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,2,3,78,32,62,43,39,18,27,0,18,57,28,9,0,0,41,33,8,18,23,15,11,19,4,10,6,4,5,17,4,0,3,7,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,8,4,4,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,3,3,111,83,104,69,60,36,46,0,33,75,44,15,0,0,68,40,13,35,36,22,16,22,5,14,9,7,8,21,4,0,4,7,4,4,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/20,8,4,5,1,4,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,0,4,3,151,128,128,100,70,72,75,0,47,110,69,21,0,0,80,53,18,59,46,35,26,33,7,23,13,14,8,27,6,0,5,11,7,5,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/20,14,7,7,1,4,1,4,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554,0,4,4,207,168,173,143,106,109,95,0,70,132,90,33,0,0,91,66,33,80,51,46,44,40,9,24,27,19,8,34,8,0,10,15,11,8,2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/20,14,7,7,1,7,1,4,1,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554,0,4,5,277,206,296,221,152,109,130,0,99,147,108,38,0,0,111,96,48,84,58,56,55,43,9,27,27,24,10,39,9,0,13,16,12,8,2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/20,14,11,10,1,8,1,4,2,3,1,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4903,0,4,5,354,278,428,277,200,162,158,0,129,182,142,44,0,0,114,112,65,101,78,63,70,46,12,31,35,26,10,41,14,0,14,19,17,9,2,0,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/20,19,15,13,1,8,1,4,3,2,1,1,5,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5806,0,11,5,436,352,538,332,237,240,184,0,168,211,177,59,2,0,139,135,82,120,87,87,83,52,29,32,39,29,12,48,14,0,17,20,21,10,2,2,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
